availability,channel_discovered,duration,kind,search_query,tested_seconds,title,title_discovered,url,video_id,yt_dlp_error,yt_dlp_ok
,Kaji Family,,kids,toy review kids,6.98,,Emma and Kate Review Toy MOXIE The Robot!,https://www.youtube.com/watch?v=E-_Y5Kl8RYI,E-_Y5Kl8RYI,ERROR: [youtube] E-_Y5Kl8RYI: This video is not available,False
,ST Hacks,,kids,toy review kids,7.61,,Doctor Kit Unboxing | Kids Medical Playset Full Review 🩺🔥,https://www.youtube.com/watch?v=gurCpD9Qcug,gurCpD9Qcug,ERROR: [youtube] gurCpD9Qcug: This video is not available,False
public,gabi toys ASMR,1788,kids,toy review kids,7.24,29 Minutes Satisfying with Unboxing Paw Patrol Toys Collection ASMR | Toy Review,29 Minutes Satisfying with Unboxing Paw Patrol Toys Collection ASMR | Toy Review,https://www.youtube.com/watch?v=CpxCWGb80vw,CpxCWGb80vw,,True
public,House Tin,5429,kids,toy review kids,7.64,Satisfying with Unboxing Disney Mickey Mouse Deluxe Clubhouse Playset | Review Toys ASMR,Satisfying with Unboxing Disney Mickey Mouse Deluxe Clubhouse Playset | Review Toys ASMR,https://www.youtube.com/watch?v=-IhPzoUjYVY,-IhPzoUjYVY,,True
,Ryan's World,,kids,toy review kids,7.13,,Biggest Hot Wheels Collection Road Rally Raceway Playset and  Ultimate Garage Cars,https://www.youtube.com/watch?v=PV0Qpe4PnUw,PV0Qpe4PnUw,ERROR: [youtube] PV0Qpe4PnUw: This video is not available,False
,Genevieve's Playhouse - Learning Videos for Kids,,kids,toy review kids,6.98,,Hour Long Montessori Preschool Toys!,https://www.youtube.com/watch?v=7C7NEISLR1U,7C7NEISLR1U,ERROR: [youtube] 7C7NEISLR1U: This video is not available,False
,Ryan's World,,kids,toy review kids,7.49,,Pretend Play Food Toy Camping & Fishing! Fun Activities for Kids! Cooking Kinder Egg Surprise Toys,https://www.youtube.com/watch?v=SQUV705XWCU,SQUV705XWCU,ERROR: [youtube] SQUV705XWCU: This video is not available,False
,Genevieve's Playhouse - Learning Videos for Kids,,kids,toy review kids,6.71,,Best Toy Learning Videos for Toddlers - Family Friendly Preschool Videos for Kids!,https://www.youtube.com/watch?v=NZlJ6Saq-S4,NZlJ6Saq-S4,ERROR: [youtube] NZlJ6Saq-S4: This video is not available,False
,ST Hacks,,kids,toy review kids,7.33,,Doctor Kit Unboxing | Kids Medical Playset Full Review 🩺🔥,https://www.youtube.com/watch?v=_BQ7hleK178,_BQ7hleK178,ERROR: [youtube] _BQ7hleK178: This video is not available,False
,Ryan's World,,kids,toy review kids,7.53,,GOLDEN GIANT EGG SURPRISE OPENING Disney Toy Story,https://www.youtube.com/watch?v=8PaTSjOjVL8,8PaTSjOjVL8,ERROR: [youtube] 8PaTSjOjVL8: This video is not available,False
public,Tina Unboxing Toys,3633,kids,toy review kids,7.15,"60 Minutes Ultimate Cooking Toys Playset, Satisfying Unboxing Kitchen Set ASMR | Tina Review","60 Minutes Ultimate Cooking Toys Playset, Satisfying Unboxing Kitchen Set ASMR | Tina Review",https://www.youtube.com/watch?v=CTByqqMNb1c,CTByqqMNb1c,,True
,CKN ,,kids,toy review kids,7.01,,Giant Dino Smashers Surprise Egg Opening Fun With CKN,https://www.youtube.com/watch?v=M295p7ApFuU,M295p7ApFuU,ERROR: [youtube] M295p7ApFuU: This video is not available,False
,Kaji Family,,kids,toy review kids,7.96,,SURPRISE RYAN with All of His New Toys and Merch Ryan's World from Walmart!!!,https://www.youtube.com/watch?v=zMM_JdmT6Ms,zMM_JdmT6Ms,ERROR: [youtube] zMM_JdmT6Ms: This video is not available,False
public,BuBu Toys ASMR and Funny Unboxing,1930,kids,toy review kids,8.15,30 Minutes Satisfying with Unboxing PEPPA PIG Water Park Adventure Playset ASMR Review Toys🐷💦,30 Minutes Satisfying with Unboxing PEPPA PIG Water Park Adventure Playset ASMR Review Toys🐷💦,https://www.youtube.com/watch?v=LtQ4ASd9eMc,LtQ4ASd9eMc,,True
public,ImmerZone Fitness ,231,kids,kids exercise,7.5,4K Immersive Interactive Warm-up | 🐰🦊ZOOTOPIA Dance Workout🕺  | Viral Challenge | Brain Break,4K Immersive Interactive Warm-up | 🐰🦊ZOOTOPIA Dance Workout🕺  | Viral Challenge | Brain Break,https://www.youtube.com/watch?v=uKgYycIyjMM,uKgYycIyjMM,,True
public,Tina Unboxing Toys,3704,kids,toy review kids,8.57,"60 Minutes Cooking Toys Playset, Satisfying Unboxing Ultimate Kitchen Set ASMR | Tina Review","60 Minutes Cooking Toys Playset, Satisfying Unboxing Ultimate Kitchen Set ASMR | Tina Review",https://www.youtube.com/watch?v=-OXFZpUDOeM,-OXFZpUDOeM,,True
,ST Hacks,,kids,toy review kids,7.93,,Doctor Kit Unboxing | Kids Medical Playset Full Review 🩺🔥,https://www.youtube.com/watch?v=3A6gaK4Aqik,3A6gaK4Aqik,ERROR: [youtube] 3A6gaK4Aqik: This video is not available,False
,GVO Kids,,kids,kids exercise,7.81,,"""GET STRONG"" Kids Workout 💪 (Sister Sister Kids Exercises!)",https://www.youtube.com/watch?v=wNH4XUUdGl4,wNH4XUUdGl4,ERROR: [youtube] wNH4XUUdGl4: This video is not available,False
public,Rio Tin ASMR ,5734,kids,toy review kids,8.39,Super Mario Bros Unboxing Toys Review | Super Mario Bros Nintendo Deluxe Bowser's Playset | ASMR,Super Mario Bros Unboxing Toys Review | Super Mario Bros Nintendo Deluxe Bowser's Playset | ASMR,https://www.youtube.com/watch?v=Rn0DoQ6BbFc,Rn0DoQ6BbFc,,True
